States In India,COVID-19 Active Cases 2025
Andaman and Nicobar Islands,0
Andhra Pradesh ,0
Arunachal Pradesh ,0
Assam ,3
Bihar,0
Chandigarh,1
Chattisgarh,2
Dadra and Nagar Haveli And Daman and Diu,0
Delhi,33
Goa,2
Gujarat ,28
Haryana ,0
Himachal Pradesh,2
Jammu and Kashmir,0
Jharkhand,0
Karnataka,14
Kerala ,30
Ladakh,1
Lakshwadeep,0
Madhya Pradesh ,9
Maharastra,14
Manipur,0
Meghalaya,0
Mizoram ,1
Nagaland,0
Odisha,5
Puducherry,0
Punjab,3
Rajasthan ,22
Sikkim,1
Tamil Nadu ,3
Telangana,1
Tripura,0
Uttarakhand,4
Uttar Pradesh,44
West Bengal ,16
